Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
565,Deerling,0.0,42.0,0.002,23.0,0.001
566,Snom,0.0,100.0,0.005,67.0,0.004
567,Pichu,0.0,110.0,0.005,78.0,0.005
568,Gimmighoul-Roaming,0.0,10.0,0.0,8.0,0.001
569,Phione,0.0,93.0,0.005,77.0,0.005
570,Numel,0.0,98.0,0.005,64.0,0.004
571,Corphish,0.0,69.0,0.003,51.0,0.003
572,Grimer,0.0,35.0,0.002,30.0,0.002
573,Diglett,0.0,83.0,0.004,75.0,0.005
574,Ralts,0.0,44.0,0.002,36.0,0.002
575,Quilladin,0.0,20.0,0.001,14.0,0.001
576,Hakamo-o,0.0,23.0,0.001,18.0,0.001
577,Rowlet,0.0,42.0,0.002,38.0,0.002
578,Bayleef,0.0,149.0,0.007,120.0,0.008
579,Litwick,0.0,15.0,0.001,14.0,0.001
580,Zorua-Hisui,0.0,96.0,0.005,24.0,0.002
581,Piplup,0.0,27.0,0.001,23.0,0.001
582,Chespin,0.0,7.0,0.0,5.0,0.0
583,Arctibax,0.0,199.0,0.01,144.0,0.009
584,Seadra,0.0,68.0,0.003,47.0,0.003
585,Sobble,0.0,28.0,0.001,22.0,0.001
586,Litten,0.0,19.0,0.001,19.0,0.001
587,Popplio,0.0,9.0,0.0,9.0,0.001
588,Fletchling,0.0,42.0,0.002,35.0,0.002
589,Foongus,0.0,16.0,0.001,13.0,0.001
590,Geodude-Alola,0.0,21.0,0.001,17.0,0.001
591,Dreepy,0.0,22.0,0.001,16.0,0.001
592,Chimchar,0.0,19.0,0.001,13.0,0.001
593,Finneon,0.0,10.0,0.0,5.0,0.0
594,Grubbin,0.0,16.0,0.001,15.0,0.001
595,Cacnea,0.0,28.0,0.001,18.0,0.001
596,Diglett-Alola,0.0,15.0,0.001,12.0,0.001
597,Quilava,0.0,66.0,0.003,52.0,0.003
598,Oddish,0.0,37.0,0.002,31.0,0.002
599,Frogadier,0.0,30.0,0.001,24.0,0.002
600,Impidimp,0.0,41.0,0.002,39.0,0.002
601,Geodude,0.0,95.0,0.005,75.0,0.005
602,Yungoos,0.0,21.0,0.001,15.0,0.001
603,Wingull,0.0,20.0,0.001,12.0,0.001
604,Raboot,0.0,24.0,0.001,15.0,0.001
605,Charcadet,0.0,25.0,0.001,20.0,0.001
606,Sewaddle,0.0,15.0,0.001,12.0,0.001
607,Gabite,0.0,41.0,0.002,27.0,0.002
608,Vullaby,0.0,56.0,0.003,41.0,0.003
609,Spinarak,0.0,88.0,0.004,79.0,0.005
610,Hatenna,0.0,37.0,0.002,23.0,0.001
611,Venonat,0.0,29.0,0.001,28.0,0.002
612,Wiglett,0.0,33.0,0.002,26.0,0.002
613,Rellor,0.0,14.0,0.001,11.0,0.001
614,Cufant,0.0,14.0,0.001,13.0,0.001
615,Skiploom,0.0,7.0,0.0,5.0,0.0
